sub,source,target,fold,test_acc,train_acc
1,['2'],['2'],0,0.9795918367346939,0.9755527210884354
1,['2'],['2'],1,0.9651360544217688,0.9772534013605442
1,['2'],['2'],2,0.9804421768707483,0.9757653061224489
1,['2'],['2'],3,0.9668367346938775,0.9785289115646258
1,['2'],['2'],4,0.9829931972789115,0.9759778911564626
2,['2'],['2'],0,0.9404761904761905,0.9668437832093517
2,['2'],['2'],1,0.9320305862361937,0.96875
2,['2'],['2'],2,0.9268707482993197,0.9683315621679065
2,['2'],['2'],3,0.9787414965986394,0.963230605738576
2,['2'],['2'],4,0.9651360544217688,0.9659936238044633
3,['2'],['2'],0,0.9761904761904762,0.9751275510204082
3,['2'],['2'],1,0.9719387755102041,0.9755527210884354
3,['2'],['2'],2,0.9685374149659864,0.9787414965986394
3,['2'],['2'],3,0.9634353741496599,0.9781037414965986
3,['2'],['2'],4,0.9744897959183674,0.9764030612244898
4,['2'],['2'],0,0.8741496598639455,0.9568544102019129
4,['2'],['2'],1,0.9302721088435374,0.9485653560042508
4,['2'],['2'],2,0.9507221750212405,0.9576955782312925
4,['2'],['2'],3,0.9506802721088435,0.953241232731137
4,['2'],['2'],4,0.9030612244897959,0.953028692879915
5,['2'],['2'],0,0.9132653061224489,0.9351615646258503
5,['2'],['2'],1,0.9149659863945578,0.9419642857142857
5,['2'],['2'],2,0.9209183673469388,0.9423894557823129
5,['2'],['2'],3,0.9319727891156463,0.9383503401360545
5,['2'],['2'],4,0.951530612244898,0.9347363945578231
6,['2'],['2'],0,0.9719387755102041,0.9740646258503401
6,['2'],['2'],1,0.9591836734693877,0.9738520408163265
6,['2'],['2'],2,0.9702380952380952,0.9725765306122449
6,['2'],['2'],3,0.9583333333333334,0.9751275510204082
6,['2'],['2'],4,0.9855442176870748,0.9713010204081632
7,['2'],['2'],0,0.8656462585034014,0.9223899638528599
7,['2'],['2'],1,0.842687074829932,0.922815224324899
7,['2'],['2'],2,0.8971088435374149,0.9257920476291729
7,['2'],['2'],3,0.92,0.9209183673469388
7,['2'],['2'],4,0.8886054421768708,0.922815224324899
8,['2'],['2'],0,0.9923469387755102,0.9904336734693877
8,['2'],['2'],1,0.9804421768707483,0.9929846938775511
8,['2'],['2'],2,0.9804421768707483,0.9914965986394558
8,['2'],['2'],3,0.9897959183673469,0.9906462585034014
8,['2'],['2'],4,0.9889455782312925,0.9889455782312925
1,['2'],['4'],0,0.9336734693877551,0.9755527210884354
